id_pedido,id_cliente,fecha,hora,id_departamento,id_seccion,id_producto,nombre_producto,precio_unitario,cantidad,precio_total,importe,region,compra
27,129389,24/08/2023,20,4,83,17794,Zanahorias,0.95,140,6.65,931,Cd. México,Abarrotes
27,129389,24/08/2023,20,4,83,28985,Col Rizada OrgÃ¡nica de Michigan,2.55,140,17.85,2499,Yucatan,Hipermercado
27,129389,24/08/2023,20,4,83,41950,Racimo de Tomates OrgÃ¡nicos,2.25,160,18,2880,Guerrero,Abastos
28,98256,10/05/2023,13,4,24,47626,LimÃ³n Grande,0.62,60,1.86,111.6,Otros,Otros
28,98256,10/05/2023,13,4,24,47209,Aguacate Hass OrgÃ¡nico,1.79,160,14.32,2291.2,Nuevo Leon,Online
29,81606,26/05/2023,12,4,24,13176,Bolsa de Bananas OrgÃ¡nicas,2.45,120,14.7,1764,Jalisco,Supermercado
31,201744,25/02/2023,15,4,83,22935,Cebolla Amarilla OrgÃ¡nica,0.88,120,5.28,633.6,Cd. México,Abarrotes
31,201744,25/02/2023,15,4,123,21903,Espinacas Baby OrgÃ¡nicas,1.49,140,10.43,1460.2,Yucatan,Hipermercado
31,201744,25/02/2023,15,4,16,31717,Cilantro OrgÃ¡nico,0.69,100,3.45,345,Guerrero,Abastos
31,201744,25/02/2023,15,4,123,4920,Uvas Rojas sin Semillas,2.45,60,7.35,441,Otros,Otros
32,119216,30/01/2023,19,4,24,13176,Bolsa de Bananas OrgÃ¡nicas,2.45,40,4.9,196,Nuevo Leon,Online
32,119216,30/01/2023,19,4,83,49683,Pepino Kirby,0.99,100,4.95,495,Jalisco,Supermercado
32,119216,30/01/2023,19,4,123,4920,Uvas Rojas sin Semillas,2.45,160,19.6,3136,Cd. México,Abarrotes
36,79431,14/12/2023,18,16,53,49235,Crema OrgÃ¡nica,1.15,80,4.6,368,Yucatan,Hipermercado
36,79431,14/12/2023,18,4,83,46979,EspÃ¡rragos,1.95,120,11.7,1404,Guerrero,Abastos
38,42756,29/04/2023,16,4,123,21616,RÃºcula Baby OrgÃ¡nica,1.55,100,7.75,775,Otros,Otros
39,184886,21/03/2023,18,4,83,4605,Cebollas Amarillas,0.85,80,3.4,272,Nuevo Leon,Online
39,184886,21/03/2023,18,4,24,28204,Manzana Fuji OrgÃ¡nica,1.45,40,2.9,116,Jalisco,Supermercado
39,184886,21/03/2023,18,4,123,21903,Espinacas Baby OrgÃ¡nicas,1.49,120,8.94,1072.8,Cd. México,Abarrotes
42,89125,05/02/2023,20,4,24,13176,Bolsa de Bananas OrgÃ¡nicas,2.45,80,9.8,784,Yucatan,Hipermercado
47,191597,10/02/2023,0,4,24,16797,Fresas,2.05,160,16.4,2624,Guerrero,Abastos
47,191597,10/02/2023,0,4,123,39275,ArÃ¡ndanos OrgÃ¡nicos,2.75,60,8.25,495,Otros,Otros
52,27498,10/05/2023,10,4,24,24852,Banana,1.05,20,1.05,21,Nuevo Leon,Online
52,27498,10/05/2023,10,4,83,49683,Pepino Kirby,0.99,100,4.95,495,Jalisco,Supermercado
53,87889,19/01/2023,20,4,24,24852,Banana,1.05,80,4.2,336,Cd. México,Abarrotes
53,87889,19/01/2023,20,4,24,37646,Manzanas Gala OrgÃ¡nicas,1.98,160,15.84,2534.4,Yucatan,Hipermercado
53,87889,19/01/2023,20,4,24,47209,Aguacate Hass OrgÃ¡nico,1.79,40,3.58,143.2,Guerrero,Abastos
53,87889,19/01/2023,20,4,123,40706,Tomates Cherry OrgÃ¡nicos,2.55,100,12.75,1275,Otros,Otros
53,87889,19/01/2023,20,4,24,5876,LimÃ³n OrgÃ¡nico,0.72,140,5.04,705.6,Nuevo Leon,Online
53,87889,19/01/2023,20,4,123,39275,ArÃ¡ndanos OrgÃ¡nicos,2.75,100,13.75,1375,Jalisco,Supermercado
53,87889,19/01/2023,20,4,24,47626,LimÃ³n Grande,0.62,100,3.1,310,Cd. México,Abarrotes
54,91977,04/02/2023,15,4,24,24852,Banana,1.05,80,4.2,336,Yucatan,Hipermercado
55,127522,06/05/2023,14,4,24,5876,LimÃ³n OrgÃ¡nico,0.72,60,2.16,129.6,Guerrero,Abastos
55,127522,06/05/2023,14,4,123,27966,Frambuesas OrgÃ¡nicas,2.85,120,17.1,2052,Otros,Otros
55,127522,06/05/2023,14,4,24,13176,Bolsa de Bananas OrgÃ¡nicas,2.45,100,12.25,1225,Nuevo Leon,Online
55,127522,06/05/2023,14,4,83,30391,Pepino OrgÃ¡nico,1.02,40,2.04,81.6,Jalisco,Supermercado
55,127522,06/05/2023,14,4,83,8518,Cebolla Roja OrgÃ¡nica,0.92,100,4.6,460,Cd. México,Abarrotes
55,127522,06/05/2023,14,4,83,41950,Racimo de Tomates OrgÃ¡nicos,2.25,100,11.25,1125,Yucatan,Hipermercado
56,41591,19/03/2023,12,4,83,24964,Ajo OrgÃ¡nico,0.98,100,4.9,490,Guerrero,Abastos
56,41591,19/03/2023,12,4,24,47209,Aguacate Hass OrgÃ¡nico,1.79,80,7.16,572.8,Otros,Otros
56,41591,19/03/2023,12,4,123,21903,Espinacas Baby OrgÃ¡nicas,1.49,100,7.45,745,Nuevo Leon,Online
57,34016,07/01/2023,8,4,123,21903,Espinacas Baby OrgÃ¡nicas,1.49,100,7.45,745,Jalisco,Supermercado
57,34016,07/01/2023,8,4,24,21137,Fresas OrgÃ¡nicas,2.49,60,7.47,448.2,Cd. México,Abarrotes
57,34016,07/01/2023,8,4,24,19057,Manzana Fuji Extra Grande OrgÃ¡nica,1.82,80,7.28,582.4,Yucatan,Hipermercado
57,34016,07/01/2023,8,4,24,47209,Aguacate Hass OrgÃ¡nico,1.79,140,12.53,1754.2,Guerrero,Abastos
58,150647,08/02/2023,8,4,24,13176,Bolsa de Bananas OrgÃ¡nicas,2.45,100,12.25,1225,Otros,Otros
58,150647,08/02/2023,8,4,123,42265,Zanahorias Baby OrgÃ¡nicas,1.25,140,8.75,1225,Nuevo Leon,Online
60,66984,26/03/2023,10,4,24,13176,Bolsa de Bananas OrgÃ¡nicas,2.45,160,19.6,3136,Jalisco,Supermercado
60,66984,26/03/2023,10,4,24,37646,Manzanas Gala OrgÃ¡nicas,1.98,100,9.9,990,Cd. México,Abarrotes
60,66984,26/03/2023,10,4,123,27966,Frambuesas OrgÃ¡nicas,2.85,100,14.25,1425,Yucatan,Hipermercado
60,66984,26/03/2023,10,4,83,22935,Cebolla Amarilla OrgÃ¡nica,0.88,80,3.52,281.6,Guerrero,Abastos
60,66984,26/03/2023,10,4,83,17794,Zanahorias,0.95,80,3.8,304,Otros,Otros
61,12295,09/01/2023,9,4,123,42265,Zanahorias Baby OrgÃ¡nicas,1.25,100,6.25,625,Nuevo Leon,Online
62,189943,29/01/2023,11,4,24,26209,Limones,0.68,140,4.76,666.4,Jalisco,Supermercado
62,189943,29/01/2023,11,4,24,47766,Aguacate OrgÃ¡nico,1.75,120,10.5,1260,Cd. México,Abarrotes
67,5738,25/01/2023,12,4,24,13176,Bolsa de Bananas OrgÃ¡nicas,2.45,100,12.25,1225,Yucatan,Hipermercado
69,115481,15/03/2023,12,16,84,27845,Leche Entera OrgÃ¡nica,0.99,20,0.99,19.8,Guerrero,Abastos
71,69984,08/05/2023,13,4,24,47209,Aguacate Hass OrgÃ¡nico,1.79,100,8.95,895,Otros,Otros
71,69984,08/05/2023,13,4,24,5876,LimÃ³n OrgÃ¡nico,0.72,160,5.76,921.6,Nuevo Leon,Online
71,69984,08/05/2023,13,4,16,31717,Cilantro OrgÃ¡nico,0.69,20,0.69,13.8,Jalisco,Supermercado
71,69984,08/05/2023,13,4,24,26209,Limones,0.68,120,4.08,489.6,Cd. México,Abarrotes
71,69984,08/05/2023,13,7,115,44632,Agua con Gas de Pomelo,0.95,100,4.75,475,Yucatan,Hipermercado
72,199522,19/04/2023,19,4,24,28204,Manzana Fuji OrgÃ¡nica,1.45,160,11.6,1856,Guerrero,Abastos
72,199522,19/04/2023,19,4,24,24852,Banana,1.05,60,3.15,189,Otros,Otros
73,152590,25/06/2023,12,4,123,21903,Espinacas Baby OrgÃ¡nicas,1.49,100,7.45,745,Nuevo Leon,Online
75,106387,06/01/2023,19,4,123,39275,ArÃ¡ndanos OrgÃ¡nicos,2.75,120,16.5,1980,Jalisco,Supermercado
75,106387,06/01/2023,19,4,123,21616,RÃºcula Baby OrgÃ¡nica,1.55,40,3.1,124,Cd. México,Abarrotes
